event_id,timestamp,user,host,source_ip,event_type,mitre_tactic,mitre_technique
8b54a574-6021-4e0c-a051-0f34081e969d,2026-06-27T08:11:59.377138+00:00,charlie,win-01,10.0.0.10,user_login,TA0006,T1110
17b41c92-3ef1-458f-9411-93b7e0825774,2026-06-27T08:12:02.377138+00:00,alice,win-03,10.0.0.11,process_start,TA0002,T1059.001
5356e0b5-50f7-4f5b-9036-4214fb2777ee,2026-06-27T08:12:05.377138+00:00,bob,win-01,10.0.0.12,process_start,TA0002,T1059.001
931a5543-c49c-498b-b5af-dfaa36ad8f85,2026-06-27T08:12:20.377138+00:00,bob,win-03,10.0.0.12,user_login,TA0006,T1110
6a55a0e3-b3be-4507-b591-ba949a742e0e,2026-06-27T08:12:23.377138+00:00,bob,win-02,10.0.0.12,user_login,TA0006,T1110
8edaa143-864e-442a-8d24-875d66046d22,2026-06-27T08:12:14.377138+00:00,bob,win-03,10.0.0.11,process_start,TA0002,T1059.003
52d51304-c8fb-4b53-96a6-c127e00393ae,2026-06-27T08:12:23.377138+00:00,bob,win-02,10.0.0.10,process_start,TA0002,T1059.003
84b8f693-a4e8-47b1-be85-ad5b9031ff76,2026-06-27T08:12:20.377138+00:00,charlie,win-02,10.0.0.12,process_start,TA0002,T1059.001
ab161d70-77cd-4279-afd2-bc1ac858ff52,2026-06-27T08:12:23.377138+00:00,admin,win-03,10.0.0.10,process_start,TA0002,T1059.003
93ca6ebe-ff56-4d38-9197-457bca1d1924,2026-06-27T08:12:53.377138+00:00,alice,win-03,10.0.0.11,user_login,TA0001,T1078
3b8875bc-e48d-4525-87f7-7a41d358f388,2026-06-27T08:13:09.377138+00:00,charlie,win-03,10.0.0.10,user_login,TA0001,T1078
d50be581-24f3-49a5-b26f-b1c07f6f962e,2026-06-27T08:12:32.377138+00:00,bob,win-02,10.0.0.10,user_login,TA0006,T1110
65fe1208-7dcc-4a90-8317-97a9dc2652d4,2026-06-27T08:12:35.377138+00:00,admin,win-02,10.0.0.11,user_login,TA0001,T1078
b0aa830c-e063-4aa2-8768-9c63c68722d9,2026-06-27T08:13:04.377138+00:00,bob,win-02,10.0.0.11,user_login,TA0006,T1110
9bf4ca70-b206-4303-9a1e-8bd114e28618,2026-06-27T08:13:09.377138+00:00,alice,win-03,10.0.0.12,process_start,TA0002,T1059.003
8e40894c-f7a3-480e-882d-3dd1e202b3c2,2026-06-27T08:13:59.377138+00:00,bob,win-01,10.0.0.11,process_start,TA0002,T1059.001
ce565c10-4970-417c-a8ac-0f70b2200267,2026-06-27T08:14:07.377138+00:00,bob,win-03,10.0.0.11,process_start,TA0002,T1059
71771fb5-9b65-41ad-85a7-12e9ad22a912,2026-06-27T08:12:50.377138+00:00,bob,win-01,10.0.0.11,user_login,TA0001,T1078
85494489-ca1d-44cc-bcfb-d313d6811169,2026-06-27T08:12:53.377138+00:00,bob,win-03,10.0.0.12,process_start,TA0002,T1059
080ac618-6fc0-4832-8343-1f194be4619a,2026-06-27T08:14:31.377138+00:00,admin,win-02,10.0.0.12,process_start,TA0002,T1059.003
e129d678-ddc2-4b35-b51e-6e41e4837300,2026-06-27T08:13:39.377138+00:00,bob,win-01,10.0.0.12,process_start,TA0002,T1059
d32c9899-1e70-4980-8047-8471b5a42b68,2026-06-27T08:13:44.377138+00:00,admin,win-03,10.0.0.11,user_login,TA0006,T1110
1fa5a6e5-3d18-4fc6-9324-fe6be5f4aff8,2026-06-27T08:13:27.377138+00:00,admin,win-01,10.0.0.10,process_start,TA0002,T1059
358b6564-17b5-45bb-9e98-9980e03b6f00,2026-06-27T08:13:31.377138+00:00,bob,win-03,10.0.0.11,user_login,TA0001,T1078
f00d5dc1-dd69-4e4d-9239-81ef2cb4e8cc,2026-06-27T08:14:23.377138+00:00,admin,win-03,10.0.0.11,user_login,TA0006,T1110
f5e29ead-fb47-44e9-a07e-d78accb033f5,2026-06-27T08:14:54.377138+00:00,alice,win-03,10.0.0.12,user_login,TA0006,T1110
4ef37995-922b-4a56-ae34-0437d349b1a1,2026-06-27T08:15:01.377138+00:00,charlie,win-03,10.0.0.11,process_start,TA0002,T1059.001
d842654a-fd07-404b-ae42-47b5cdc31851,2026-06-27T08:14:41.377138+00:00,bob,win-02,10.0.0.10,process_start,TA0002,T1059.001
25b0524a-cbbb-401b-9f6b-398a54ec9131,2026-06-27T08:15:43.377138+00:00,charlie,win-03,10.0.0.10,user_login,TA0001,T1078
29142e7a-7592-4401-bab4-03a11714d5ef,2026-06-27T08:13:26.377138+00:00,charlie,win-03,10.0.0.12,user_login,TA0006,T1110
9eff0054-dda0-45da-93d4-88a42d7f1446,2026-06-27T08:13:59.377138+00:00,charlie,win-01,10.0.0.12,user_login,TA0006,T1110
3610a829-53fb-4be3-8bac-4a29656a3bbb,2026-06-27T08:15:36.377138+00:00,alice,win-03,10.0.0.11,user_login,TA0001,T1078
9f9c52d5-1db2-4d83-92f0-f1fc224dfd03,2026-06-27T08:13:35.377138+00:00,charlie,win-02,10.0.0.10,process_start,TA0002,T1059
85578d45-077d-4b34-8db6-a1da03468df6,2026-06-27T08:15:50.377138+00:00,alice,win-01,10.0.0.12,process_start,TA0002,T1059.001
afc32e93-4073-4f99-8f89-a7cae1e07d85,2026-06-27T08:13:41.377138+00:00,bob,win-01,10.0.0.12,process_start,TA0002,T1059
063a007c-bf9b-4a21-8918-fcf34c1a897b,2026-06-27T08:16:04.377138+00:00,bob,win-02,10.0.0.12,process_start,TA0002,T1059
6832fe73-4803-4d66-9a6a-7cdb0dc5b1c5,2026-06-27T08:15:35.377138+00:00,bob,win-03,10.0.0.12,user_login,TA0001,T1078
4235cf23-0296-4119-a199-cc33b7a5581e,2026-06-27T08:16:55.377138+00:00,charlie,win-02,10.0.0.12,user_login,TA0006,T1110
60e27c91-db73-4d68-a8a1-3f91b513d27e,2026-06-27T08:15:47.377138+00:00,admin,win-01,10.0.0.10,user_login,TA0006,T1110
5703d643-cc99-423b-86b2-7fd4117a5f4f,2026-06-27T08:15:14.377138+00:00,alice,win-03,10.0.0.12,process_start,TA0002,T1059.003
650bedf4-0f93-4a42-928a-8c95f6e3b958,2026-06-27T08:14:39.377138+00:00,alice,win-01,10.0.0.12,process_start,TA0002,T1059.003
122d7d8a-27f2-4b47-82e7-78fafb6ef24b,2026-06-27T08:14:43.377138+00:00,alice,win-01,10.0.0.11,user_login,TA0006,T1110
01bac336-1adc-44c4-ac34-503fbcf916d8,2026-06-27T08:14:47.377138+00:00,charlie,win-03,10.0.0.11,process_start,TA0002,T1059.001
e7cfb996-e488-42dc-9c76-f0aa306b8c41,2026-06-27T08:14:51.377138+00:00,admin,win-01,10.0.0.11,process_start,TA0002,T1059.003
0b09f758-88db-4770-a170-6f4bbbeccaee,2026-06-27T08:14:55.377138+00:00,alice,win-01,10.0.0.12,user_login,TA0001,T1078
1d614f2e-8e06-4516-bfd3-34fe35b0a8a0,2026-06-27T08:16:29.377138+00:00,admin,win-02,10.0.0.12,process_start,TA0002,T1059
e616c965-3490-40f1-9847-4f87d7a52ae9,2026-06-27T08:18:07.377138+00:00,alice,win-01,10.0.0.11,process_start,TA0002,T1059.001
504b3e07-e98f-4cac-93c3-1313db81ec83,2026-06-27T08:14:20.377138+00:00,bob,win-01,10.0.0.10,user_login,TA0006,T1110
be7f7b70-a4d3-4074-b4d2-3a0fc8d8f1cd,2026-06-27T08:15:11.377138+00:00,admin,win-01,10.0.0.11,user_login,TA0006,T1110
bd2069c5-6557-4e46-a129-dc5ee5c45e67,2026-06-27T08:14:26.377138+00:00,admin,win-03,10.0.0.10,process_start,TA0002,T1059
7ce41bde-fcc8-4281-bfab-886386b7709b,2026-06-27T08:17:49.377138+00:00,alice,win-01,10.0.0.10,process_start,TA0002,T1059.001
79731643-ed3b-4259-820e-95cb96704ce9,2026-06-27T08:17:05.377138+00:00,admin,win-01,10.0.0.11,process_start,TA0002,T1059.001
2d3da4fc-bdec-40a6-900e-326cd782fd8f,2026-06-27T08:15:27.377138+00:00,admin,win-01,10.0.0.11,user_login,TA0001,T1078
7dab92da-527d-4497-93d5-2beda0d9f60b,2026-06-27T08:17:17.377138+00:00,charlie,win-02,10.0.0.12,process_start,TA0002,T1059.003
77f72b8b-2b39-4c8a-9c2b-19251bfca60e,2026-06-27T08:18:17.377138+00:00,admin,win-01,10.0.0.10,user_login,TA0001,T1078
3c5a4cda-53c8-4d16-8b2e-37cbf8a495b5,2026-06-27T08:14:44.377138+00:00,alice,win-03,10.0.0.11,process_start,TA0002,T1059.003
15c0551d-c944-4db9-a004-13d281e19ed6,2026-06-27T08:18:31.377138+00:00,admin,win-03,10.0.0.12,process_start,TA0002,T1059.001
8124db4c-dc93-4a0f-895c-083ceb563cb8,2026-06-27T08:18:38.377138+00:00,alice,win-01,10.0.0.10,process_start,TA0002,T1059.001
b1299487-cba3-4bc8-ba0b-088b1e5a5b2e,2026-06-27T08:19:43.377138+00:00,bob,win-02,10.0.0.10,user_login,TA0006,T1110
1723562d-9c9d-4ecd-8dda-b91d706e6f11,2026-06-27T08:18:52.377138+00:00,bob,win-03,10.0.0.12,user_login,TA0001,T1078
39c8ad5c-abbe-4eed-8630-97dd5b08dca1,2026-06-27T08:14:59.377138+00:00,admin,win-03,10.0.0.12,process_start,TA0002,T1059.001
af3d1825-7fb3-469a-998b-d07e43e61d0c,2026-06-27T08:17:04.377138+00:00,charlie,win-01,10.0.0.12,user_login,TA0006,T1110
22c25888-b6dc-473c-82b5-597bf84a5074,2026-06-27T08:16:07.377138+00:00,charlie,win-02,10.0.0.10,user_login,TA0006,T1110
0ff81ddb-6af9-45be-b57e-6f55c571bf58,2026-06-27T08:17:14.377138+00:00,admin,win-02,10.0.0.10,user_login,TA0006,T1110
a78f1a19-9b14-4c5f-9960-2ec97de6b113,2026-06-27T08:19:27.377138+00:00,alice,win-01,10.0.0.12,process_start,TA0002,T1059.001
1a4049fc-4922-420b-8bf0-f9426777a451,2026-06-27T08:17:24.377138+00:00,bob,win-02,10.0.0.10,process_start,TA0002,T1059.003
e16d14c4-fefd-4ac3-a28c-62af187a65f5,2026-06-27T08:17:29.377138+00:00,charlie,win-01,10.0.0.11,user_login,TA0001,T1078
